Texte,Catégorie,Page
Dyspnée = perception d’une respiration inconfortable ou pénible ressentie au cours de situations diverses (repos ou exercice) n’entraînant habituellement aucune gêne.,Définition de la dyspnée,0
"Sensation subjective :
. Composante sensorielle : serrement thoracique ou inspiration incomplète.
. Composante affective et émotionnelle : désagrément, anxiété, frayeur",Ressentie du patient atteint de la dyspnée,0
"Commande respiratoire : automatique (tronc cérébral) + volontaire (cortex moteur).

1. Activation des muscles dilatateurs du pharynx (ouverture des VAS).
2. Activation des muscles inspiratoires de la partie supérieure du thorax (stabilisation de la paroi thoracique).
3. Mise en jeu des muscles inspiratoires intercostaux et du diaphragme",Mécanismes : Physiologie respiratoire,0
"- Dyspnée de Küssmaul (souvent acidose métabolique) = en 4 temps : inspiration profonde –pause – expiration profonde – pause.
- Dyspnée de Cheyne-Stokes (affection neurologique sévère, IC grave) : dyspnée anarchique avec mouvements respiratoires de plus en plus amples et rapides, souvent suivis d’une pause prolongée.",Caractérisation de la dyspnée :  Dysrythmies respiratoires,0
"- Dyspnée aiguë : installation brutale en quelques heures/jours  Risque d’insuffisance respiratoire. 
- Dyspnée chronique : installation progressive sur ≥ 8 semaines/mois  Recherche de facteur déclenchant, date de début, aggravation récente",Caractérisation de la dyspnée : Chronologie de la dyspnée,0
"- Dyspnée inspiratoire (augmentation du temps inspiratoire) : pathologie des voies aériennes supérieures (pharyngée, laryngée ou trachéale). 
- Dyspnée expiratoire (augmentation du temps expiratoire) : pathologie bronchique (BPCO, asthme) ± sifflements intrathoraciques",Caractérisation de la dyspnée : Cycle respiratoire,0
"- Orthopnée : dyspnée en décubitus dorsal  insuffisance cardiaque, dysfonction
diaphragmatique, obésité.
- Antépnée : dyspnée en antéflexion  dysfonction diaphragmatique, obésité.
- Platypnée : dyspnée en orthostatisme  shunt anatomique intracardiaque (foramen ovale
perméable) ou intrapulmonaire (malformation ou fistule artérioveineuse, syndrome hépatopulmonaire).",Caractérisation de la dyspnée : Position,0
"Nocturne : asthme (fin de nuit), œdème aigu pulmonaire (orthopnée).",Caractérisation de la dyspnée : Horaires,0
"- Dyspnée de repos ou d’effort.
- Facteurs déclenchants : allergène (asthme), écart de régime désodé (insuffisance cardiaque), tabac, exposition professionnelle, prise médicamenteuse…",Caractérisation de la dyspnée : Facteurs déclenchants,0
"Hyperventilation excessive (HVE) : réponse ventilatoire supérieure aux besoins
  Avec respect du pattern ventilatoire = augmentation concomitante et harmonieuse de la fréquence respiratoire
et du volume courant.
  Avec modification du pattern ventilatoire = « dysfonctional breathing » = désordre du contrôle physiologique de
la ventilation.",Caractérisation de la dyspnée : Signes associés,0
"Volume courant :
  Hyperpnée : augmentation de l’amplitude du volume courant.
  Hypopnée : diminution de l’amplitude du volume courant.",Caractérisation de la dyspnée : Signes associés,0
"Fréquence respiratoire :
  Tachypnée (> 20-25/min) : augmentation excessive de la fréquence respiratoire.
  Bradypnée (< 10-15/min) : réduction franche de la fréquence respiratoire.",Caractérisation de la dyspnée : Signes associés,0
"Symptômes associés : douleur thoracique, palpitations, toux, expectorations, wheezing, cornage.
 - Auscultation pulmonaire : abolition du MV, bruits surajoutés (sibilant, bronchi, crépitant).
 - Anomalies de la percussion : matité, tympanisme.
 - Signes respiratoires : diminution ou abolition des vibrations vocales, mise en jeu des muscles inspiratoires du cou,
respiration abdominale paradoxale.
 - Signes d’insuffisance cardiaque droite et/ou gauche.
 - Signes extra-respiratoires : fièvre, signes cutanés, articulaires, digestifs, neurologiques…",Caractérisation de la dyspnée : Signes associés,0
" Utilisée en cardiologie pour évaluer le retentissement fonctionnel la dyspnée chronique sur
l’activité physique.
- Stade 1 : absence de dyspnée pour les efforts habituels (aucune gêne dans la vie courante).
- Stade 2 : dyspnée pour des efforts importants habituels (marche rapide ou en côte ou montée
des escaliers ≥ 2 étages).
- Stade 3 : dyspnée pour des efforts peu intenses de la vie courante (marche en terrain plat ou
montée des escaliers < 2 étages).
- Stade 4 : dyspnée permanente de repos ou pour des efforts minimes (se laver, enfiler un
vêtement).",Quantification : échelles NYHA de la dyspnée,1
